stop_id,stop_name,stop_lat,stop_lon
101,VAN CORTLANDT PARK-242 ST,40.889248,-73.898583
103,238 ST,40.884667,-73.90087
104,231 ST,40.878856,-73.904834
106,MARBLE HILL-225 ST,40.874561,-73.909831
107,215 ST,40.869444,-73.915279
108,207 ST,40.864621,-73.918822
109,DYCKMAN ST,40.860531,-73.925536
110,191 ST,40.855225,-73.929412
111,181 ST,40.849505,-73.933596
112,168 ST-WASHINGTON HTS,40.840556,-73.940133
113,157 ST,40.834041,-73.94489
114,145 ST,40.826551,-73.95036
115,137 ST-CITY COLLEGE,40.822008,-73.953676
116,125 ST,40.815581,-73.958372
117,116 ST-COLUMBIA UNIVERSITY,40.807722,-73.96411
118,CATHEDRAL PKWY (110 ST),40.803967,-73.966847
119,103 ST,40.799446,-73.968379
120,96 ST,40.793919,-73.972323
121,86 ST,40.788644,-73.976218
122,79 ST,40.783934,-73.979917
123,72 ST,40.778453,-73.98197
124,66 ST-LINCOLN CENTER,40.77344,-73.982209
125,59 ST-COLUMBUS CIRCLE,40.768247,-73.981929
126,50 ST,40.761728,-73.983849
127,TIMES SQ-42 ST,40.75529,-73.987495
128,34 ST-PENN STATION,40.750373,-73.991057
129,28 ST,40.747215,-73.993365
130,23 ST,40.744081,-73.995657
131,18 ST,40.74104,-73.997871
132,14 ST,40.737826,-74.000201
133,CHRISTOPHER ST-SHERIDAN SQ,40.733422,-74.002906
134,HOUSTON ST,40.728251,-74.005367
135,CANAL ST,40.722854,-74.006277
136,FRANKLIN ST,40.719318,-74.006886
137,CHAMBERS ST,40.715478,-74.009266
138,WTC CORTLANDT,40.711835,-74.012188
139,RECTOR ST,40.707513,-74.013783
140,SOUTH FERRY LOOP,40.701411,-74.013205
142,SOUTH FERRY,40.702068,-74.013664
201,WAKEFIELD-241 ST,40.903125,-73.85062
204,NEREID AV,40.898379,-73.854376
205,233 ST,40.893193,-73.857473
206,225 ST,40.888022,-73.860341
207,219 ST,40.883895,-73.862633
208,GUN HILL RD,40.87785,-73.866256
209,BURKE AV,40.871356,-73.867164
210,ALLERTON AV,40.865462,-73.867352
211,PELHAM PKWY,40.857192,-73.867615
212,BRONX PARK EAST,40.848828,-73.868457
213,E 180 ST,40.841894,-73.873488
214,WEST FARMS SQ-E TREMONT AV,40.840295,-73.880049
215,174 ST,40.837288,-73.887734
216,FREEMAN ST,40.829993,-73.891865
217,SIMPSON ST,40.824073,-73.893064
218,INTERVALE AV,40.822181,-73.896736
219,PROSPECT AV,40.819585,-73.90177
